person_age,person_gender,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
58,Male,81897.10697396415,RENT,1.0,EDUCATION,B,18362.470438037944,14.801218163518051,1,0.22421390836034713,N,16
48,Male,40669.00136531888,OWN,0.0,MEDICAL,B,16896.59976743746,8.90619778770822,1,0.41546630603637824,N,19
34,Male,51969.25634148405,OWN,16.0,EDUCATION,C,9538.482259269429,9.149062571189203,1,0.1835408649412482,Y,16
62,Male,72414.74889633303,MORTGAGE,15.0,HOMEIMPROVEMENT,C,7911.596988548652,11.34528786210277,0,0.10925394493702764,N,23
27,Female,36473.91590566748,RENT,9.0,VENTURE,A,17795.5562654406,9.747029432584364,1,0.4878981547104857,Y,9
40,Female,69264.89974773089,MORTGAGE,17.0,HOMEIMPROVEMENT,B,12757.697596275906,8.379574728174525,0,0.18418705062362914,N,21
58,Male,15000.0,MORTGAGE,16.0,HOMEIMPROVEMENT,C,9129.261166156259,16.5243163435504,1,0.6086174110770839,N,28
38,Female,61019.73315142626,MORTGAGE,20.0,VENTURE,C,500.0,15.262885102213678,0,0.008194070576467493,N,8
42,Female,81444.84333039305,MORTGAGE,9.0,DEBTCONSOLIDATION,E,6222.502758164469,8.12026324559097,1,0.07640143321194648,N,24
30,Male,38391.6630556394,OTHER,12.0,PERSONAL,B,5874.859616151961,11.660967112957021,1,0.1530243586384309,N,12
30,Female,72377.63240596798,OWN,12.0,DEBTCONSOLIDATION,A,9268.096866564325,6.40411605908143,0,0.12805194862660518,N,12
43,Female,86678.45304387566,MORTGAGE,15.0,EDUCATION,B,13092.591683773251,16.10369493313606,0,0.1510478235824759,N,18
55,Male,44903.16323891962,RENT,5.0,DEBTCONSOLIDATION,A,13856.266121611185,13.280425046499055,1,0.30858106917512945,Y,20
59,Female,43249.43428300278,OWN,2.0,MEDICAL,B,17500.17842644655,14.010973803116181,1,0.40463369559782186,N,3
43,Male,32034.12508335392,MORTGAGE,20.0,DEBTCONSOLIDATION,B,14656.979188351088,10.245371158473361,0,0.457542672079013,N,13
22,Female,39805.39689629733,MORTGAGE,4.0,DEBTCONSOLIDATION,C,3497.6604258950783,14.52409139684098,0,0.08786900015109328,N,4
41,Female,33692.80219454759,RENT,17.0,PERSONAL,B,15150.037897702128,14.532053305187496,1,0.44965205951773923,N,6
21,Male,32017.778031455455,OTHER,3.0,MEDICAL,E,18666.6235263668,10.506053910884596,1,0.583008087195433,N,3
43,Female,73976.70593422712,RENT,25.0,DEBTCONSOLIDATION,B,18419.04038510301,7.55298819300343,0,0.2489843276000884,Y,13
63,Female,34201.47949423481,OTHER,3.0,VENTURE,A,3935.6827534587824,12.305625088961042,1,0.1150734649979748,Y,18
49,Male,55170.43829439246,OTHER,21.0,EDUCATION,A,9044.51699010777,10.620423676106794,0,0.16393774038635936,N,6
57,Female,50764.66870432476,OTHER,23.0,DEBTCONSOLIDATION,F,14804.868747849863,16.557650948299035,1,0.29163725728379675,N,3
21,Female,79961.89125142245,MORTGAGE,3.0,PERSONAL,B,4208.284832189354,11.151896224849315,0,0.05262863054298372,N,3
40,Male,39936.87535889973,MORTGAGE,9.0,VENTURE,B,1375.4250804042522,11.319363230983008,0,0.034439977290255025,N,7
52,Male,57622.96093308644,OTHER,1.0,PERSONAL,A,11569.778433853116,13.420939598331003,0,0.20078417086703162,N,10
31,Female,65821.39404552219,OTHER,13.0,HOMEIMPROVEMENT,D,6622.042864466486,11.009827064102366,1,0.10060623845017123,N,13
41,Female,79794.99214641163,MORTGAGE,5.0,DEBTCONSOLIDATION,C,1842.7446649269152,13.083068195491979,0,0.023093487640750185,N,23
63,Male,39644.93309909466,OTHER,17.0,EDUCATION,B,16147.602213762728,9.38290776584152,0,0.40730557353699953,N,11
44,Female,37642.15062535239,MORTGAGE,16.0,EDUCATION,C,10821.563290589913,7.644319256655834,0,0.28748525551304377,N,12
68,Male,28764.378920798947,OTHER,37.0,VENTURE,B,7396.5383272877,8.26229408702497,1,0.25714229212644013,Y,29
46,Female,94725.99241696481,MORTGAGE,22.0,VENTURE,A,5181.579579037936,9.988625210982214,0,0.05470071568350176,N,3
61,Male,77689.44876360775,RENT,29.0,VENTURE,D,10872.830741716803,11.355862245392107,1,0.13995247636265876,N,25
47,Male,49155.97211375913,OTHER,20.0,EDUCATION,F,12577.085994627638,12.497111885807477,1,0.25586079277450025,N,22
35,Male,88628.78302254113,OTHER,9.0,DEBTCONSOLIDATION,C,11629.663364017244,12.36694318979955,0,0.13121768084144234,N,17
34,Male,47962.732112686856,RENT,12.0,HOMEIMPROVEMENT,B,2405.4333936555918,11.030222198309055,0,0.050152134536541944,N,16
66,Female,64488.20942867059,OWN,11.0,EDUCATION,B,12384.260321185178,7.789719453369894,0,0.19203914065691677,N,10
63,Female,50203.43803445441,OTHER,8.0,VENTURE,E,13472.247546734989,13.096478214834615,1,0.2683530864457737,N,21
22,Male,57956.109035009424,OWN,3.0,MEDICAL,B,8282.979646488327,6.495967836700339,0,0.1429181458935562,N,4
56,Male,55835.228850670945,RENT,38.0,DEBTCONSOLIDATION,D,15198.05190974459,7.497240679221366,1,0.27219467391082364,N,28
26,Male,41500.29253246701,OTHER,8.0,HOMEIMPROVEMENT,C,5740.413035288075,11.135587037312083,0,0.13832223063963142,N,8
40,Female,71849.97076170705,OWN,22.0,EDUCATION,C,16452.92393015501,13.3893571613034,0,0.22898998782785465,N,22
28,Male,64319.04835367802,OTHER,10.0,MEDICAL,A,10661.578422153221,12.881935703038565,0,0.1657608235048389,N,9
58,Female,70553.89187002958,OTHER,4.0,DEBTCONSOLIDATION,A,7519.152639917219,10.698996823594127,0,0.10657318031113833,N,6
37,Female,56404.54370998692,MORTGAGE,14.0,HOMEIMPROVEMENT,B,8407.75754834612,12.334251592344396,0,0.14906170665214427,N,6
23,Male,31868.60236445731,OWN,3.0,EDUCATION,G,14996.424417149823,7.803638082081968,1,0.47057050841599396,N,5
44,Female,84187.72133115405,MORTGAGE,26.0,DEBTCONSOLIDATION,A,11186.21174957688,9.314608600544508,0,0.13287224755229682,N,7
33,Female,44748.875328651484,MORTGAGE,,DEBTCONSOLIDATION,C,13225.336632537781,9.360088091548143,0,0.29554567652049923,N,15
69,Male,57281.340571368295,OWN,23.0,VENTURE,C,15373.346513627052,8.075368511364525,1,0.26838314816450576,Y,2
28,Female,62707.62717644538,OWN,10.0,EDUCATION,B,7370.114670333411,9.922125137517984,0,0.1175313913504579,N,10
45,Male,57148.43432435237,MORTGAGE,26.0,DEBTCONSOLIDATION,C,10636.491680396814,10.373527565019415,0,0.18612043892625663,N,22
21,Female,68308.34042460549,OTHER,0.0,HOMEIMPROVEMENT,C,8877.720198415062,9.61311727433369,0,0.12996539138897306,N,3
39,Male,71467.55844632996,OTHER,21.0,VENTURE,D,15085.289889781689,10.229764930242066,1,0.21107884776993324,N,12
47,Female,45503.32993905504,RENT,16.0,DEBTCONSOLIDATION,B,8087.722906647201,5.0,0,0.17773914387099815,N,16
120,Female,82509.34683911294,OTHER,36.0,PERSONAL,E,10239.158821809357,12.157077341525547,0,0.12409695645482385,N,25
26,Female,44661.9289167747,OWN,8.0,MEDICAL,B,21478.623005737663,9.783155084871506,1,0.4809157044193505,Y,6
63,Male,56734.98097761577,OWN,25.0,DEBTCONSOLIDATION,C,16425.58137116539,9.780320338456425,0,0.2895141778164329,N,20
27,Female,42246.43632791537,RENT,9.0,VENTURE,A,4823.859449022899,6.835141717857109,0,0.11418381923578759,N,7
66,Female,36530.529546984195,OWN,38.0,VENTURE,B,14509.88053679009,15.653017810776293,1,0.39719874627407264,Y,24
54,Female,70883.8217758173,MORTGAGE,20.0,HOMEIMPROVEMENT,A,13443.8464417832,15.795016150886454,0,0.1896602934912533,N,15
33,Male,112437.93794852089,RENT,15.0,DEBTCONSOLIDATION,B,4496.818310825541,5.99432613691835,0,0.03999378139506956,Y,15
36,Male,42764.80223359366,RENT,12.0,DEBTCONSOLIDATION,A,9449.72132105197,10.293409337932724,1,0.2209696018102661,N,18
55,Male,74306.43149356157,OTHER,36.0,HOMEIMPROVEMENT,E,5261.484693913932,13.783377901626059,1,0.07080793126729311,Y,15
69,Female,43481.77374599611,OTHER,2.0,MEDICAL,C,500.0,9.924395135059415,0,0.011499070919250183,N,12
59,Female,49790.30046287991,MORTGAGE,31.0,HOMEIMPROVEMENT,D,9270.142377286254,9.1815922132326,1,0.18618370026100586,N,5
23,Male,85151.67544463344,MORTGAGE,5.0,VENTURE,B,7469.549352464028,8.986743413585398,0,0.0877205212165298,N,5
21,Male,28529.29429849388,OTHER,3.0,MEDICAL,E,4495.488073401949,11.93811457064817,1,0.15757445755113805,N,3
